id,LAT,LON,NO2
NA06 Museo Nazionale,40.8541679382324,14.2511110305786,45.8
NA06 Museo Nazionale,40.8541679382324,14.2511110305786,45.8
NA06 Museo Nazionale,40.8541679382324,14.2511110305786,49.3
NA06 Museo Nazionale,40.8541679382324,14.2511110305786,49.3
NA07 Ferrovia,40.8541679382324,14.2716665267944,97.0
NA07 Ferrovia,40.8541679382324,14.2716665267944,97.0
NA07 Ferrovia,40.8541679382324,14.2716665267944,82.7
NA07 Ferrovia,40.8541679382324,14.2716665267944,82.7
NA09 Via Argine,40.8638877868652,14.3413887023926,15.0
NA09 Via Argine,40.8638877868652,14.3413887023926,15.0
NA09 Via Argine,40.8638877868652,14.3413887023926,13.4
NA09 Via Argine,40.8638877868652,14.3413887023926,13.4
Portici Parco Reggia,40.8159713745117,14.3502502441406,4.2
Portici Parco Reggia,40.8159713745117,14.3502502441406,4.2
Portici Parco Reggia,40.8159713745117,14.3502502441406,2.3
Portici Parco Reggia,40.8159713745117,14.3502502441406,2.3
